order,tag,id,name,type,class,text
80,input,MainContent_hdnTemplateIds,ctl00$MainContent$hdnTemplateIds,hidden,,
81,input,MainContent_hdnShowHide,ctl00$MainContent$hdnShowHide,hidden,,
82,input,MainContent_hdnBusinessRuleId,ctl00$MainContent$hdnBusinessRuleId,hidden,,
83,input,MainContent_hdnIsITSS,ctl00$MainContent$hdnIsITSS,hidden,,
84,input,MainContent_hdnweekday,ctl00$MainContent$hdnweekday,hidden,,
85,input,MainContent_btnBack,ctl00$MainContent$btnBack,image,,
86,div,MainContent_alertBoxDelete_pnlModalPopUp,,,ModalWindow confirmationBox,ConfirmationDo you want to delete this Business Rule?
87,span,MainContent_alertBoxDelete_lblTitle,,,,Confirmation
88,span,MainContent_alertBoxDelete_lblMessage,,,,Do you want to delete this Business Rule?
89,input,MainContent_alertBoxDelete_btnPopUpOk,ctl00$MainContent$alertBoxDelete$btnPopUpOk,submit,btn btn-small btn-info button-small btnPopUpOkButton,
90,input,MainContent_alertBoxDelete_btnPopUpCancel,ctl00$MainContent$alertBoxDelete$btnPopUpCancel,submit,btn btn-small btn-info button-small,
91,a,MainContent_alertBoxDelete_hlnk,,,,
92,iframe,AsyncWaitIframe,,,AsyncWait,
93,div,AsyncWaitCnt,,,AsyncWait,Click hereto cancel the current request.Unexpected ErrorAn u
94,table,AsyncWaitTableUpdate,,,AsyncWait,Click hereto cancel the current request.
95,img,ucAsync1_imgRefresh,,,,
96,table,AsyncWaitTableError,,,AsyncWait,Unexpected ErrorAn unexpected error was encountered processi
97,img,ucAsync1_imgWarning,,,,
98,span,AsyncWaitErrorMessage,,,,
99,input,ucAsync1_hdnTimeout,ctl00$ucAsync1$hdnTimeout,hidden,,
100,input,ucAsync1_hdnSetTimeoutID,ctl00$ucAsync1$hdnSetTimeoutID,hidden,,
101,span,lblCopyright,,,,"Copyright FUJIFILM Co., Ltd. 1995 - 2013. All Right Reserved"
102,div,modalPopup_backgroundElement,,,modalBackground,
