SerialNumber,Product_Code,OpcoID,State
363043,TC101310,FXAU,VIC
128335,TC101672,FXAU,VIC
430324,TC101678,FXAU,VIC
235147,TC101686,FXAU,VIC
790437,TC101571,FXAU,VIC
130705,TC101673,FXAU,VIC
140813,TC101673,FXAU,VIC
751506,TC101544,FXAU,VIC
131665,TC101673,FXAU,VIC
174677,TC101674,FXAU,VIC
517099,TC101165,FXAU,VIC
170625,TC101675,FXAU,VIC
401789,TC101682,FXAU,VIC
565425,TC101546,FXAU,VIC
271170,TC101689,FXAU,VIC
221101,TC101323,FXAU,VIC
420266,TC101675,FXAU,VIC
171267,TC101674,FXAU,VIC
235477,TC101686,FXAU,VIC
176264,TC101674,FXAU,VIC
231526,TC101686,FXAU,VIC
420477,TC101674,FXAU,VIC
131170,TC101673,FXAU,VIC
132579,TC101673,FXAU,VIC
231442,TC101686,FXAU,VIC
172149,TC101675,FXAU,VIC
136512,TC101672,FXAU,VIC
235152,TC101686,FXAU,VIC
500229,TC101165,FXAU,VIC
652480,TC101549,FXAU,VIC
565918,TC101546,FXAU,VIC
135991,TC101673,FXAU,VIC
401744,TC101682,FXAU,VIC
138652,TC101672,FXAU,VIC
400335,TC101672,FXAU,VIC
430010,TC101679,FXAU,VIC
234468,TC101686,FXAU,VIC
230633,TC101687,FXAU,VIC
107687,TC101672,FXAU,VIC
652259,TC101549,FXAU,VIC
250403,TC101330,FXAU,VIC
430033,TC101678,FXAU,VIC
271227,TC101689,FXAU,VIC
174232,TC101674,FXAU,VIC
170412,TC101674,FXAU,VIC
121973,TC101672,FXAU,VIC
566078,TC101546,FXAU,VIC
402595,TC101673,FXAU,VIC
425435,TC101687,FXAU,VIC
185276,TC101674,FXAU,VIC
304281,TC101678,FXAU,VIC
131679,TC101888,FXAU,VIC
304725,TC101679,FXAU,VIC
175427,TC101674,FXAU,VIC
302323,TC101678,FXAU,VIC
517663,TC101545,FXAU,VIC
520118,TC101161,FXAU,VIC
401955,TC101672,FXAU,VIC
172198,TC101674,FXAU,VIC
401117,TC101673,FXAU,VIC
750687,TC101545,FXAU,VIC
301433,TC101678,FXAU,VIC
200554,TC101676,FXAU,VIC
140139,TC101888,FXAU,VIC
130531,TC101888,FXAU,VIC
430390,TC101678,FXAU,VIC
111063,TC101672,FXAU,VIC
204394,TC101677,FXAU,VIC
271285,TC101689,FXAU,VIC
425231,TC101686,FXAU,VIC
402487,TC101682,FXAU,VIC
401174,TC101673,FXAU,VIC
135413,TC101672,FXAU,VIC
252175,TC101330,FXAU,VIC
402234,TC101672,FXAU,VIC
204851,TC101677,FXAU,VIC
564449,TC101546,FXAU,VIC
301651,TC101679,FXAU,VIC
400521,TC101673,FXAU,VIC
400654,TC101672,FXAU,VIC
400714,TC101672,FXAU,VIC
133529,TC101672,FXAU,VIC
133154,TC101672,FXAU,VIC
128293,TC101672,FXAU,VIC
231855,TC101687,FXAU,VIC
126853,TC101888,FXAU,VIC
251358,TC101329,FXAU,VIC
137940,TC101673,FXAU,VIC
430161,TC101678,FXAU,VIC
139553,TC101673,FXAU,VIC
401504,TC101673,FXAU,VIC
252447,TC101330,FXAU,VIC
123859,TC101888,FXAU,VIC
231433,TC101687,FXAU,VIC
131444,TC101672,FXAU,VIC
176875,TC101674,FXAU,VIC
400886,TC101672,FXAU,VIC
175409,TC101675,FXAU,VIC
132195,TC101672,FXAU,VIC
400591,TC101672,FXAU,VIC
270380,TC101688,FXAU,VIC
235533,TC101686,FXAU,VIC
175964,TC101674,FXAU,VIC
133077,TC101673,FXAU,VIC
400861,TC101672,FXAU,VIC
425374,TC101687,FXAU,VIC
235449,TC101687,FXAU,VIC
302236,TC101679,FXAU,VIC
176511,TC101674,FXAU,VIC
138565,TC101672,FXAU,VIC
174952,TC101674,FXAU,VIC
130856,TC101672,FXAU,VIC
171785,TC101674,FXAU,VIC
176727,TC101674,FXAU,VIC
304722,TC101678,FXAU,VIC
301518,TC101678,FXAU,VIC
139287,TC101672,FXAU,VIC
402877,TC101682,FXAU,VIC
172793,TC101675,FXAU,VIC
231239,TC101686,FXAU,VIC
303987,TC101679,FXAU,VIC
201127,TC101676,FXAU,VIC
130733,TC101888,FXAU,VIC
420061,TC101675,FXAU,VIC
136005,TC101672,FXAU,VIC
401745,TC101673,FXAU,VIC
234061,TC101686,FXAU,VIC
565956,TC101546,FXAU,VIC
402673,TC101672,FXAU,VIC
176213,TC101674,FXAU,VIC
750981,TC101544,FXAU,VIC
402661,TC101682,FXAU,VIC
401241,TC101672,FXAU,VIC
401884,TC101672,FXAU,VIC
425527,TC101686,FXAU,VIC
566678,TC101168,FXAU,VIC
400050,TC101672,FXAU,VIC
130564,TC101888,FXAU,VIC
430534,TC101329,FXAU,VIC
565967,TC101546,FXAU,VIC
232356,TC101687,FXAU,VIC
232523,TC101687,FXAU,VIC
236890,TC101687,FXAU,VIC
564663,TC101546,FXAU,VIC
300912,TC101678,FXAU,VIC
401700,TC101672,FXAU,VIC
235478,TC101687,FXAU,VIC
106672,TC101672,FXAU,VIC
750150,TC101545,FXAU,VIC
402731,TC101672,FXAU,VIC
363956,TC101307,FXAU,VIC
130685,TC101672,FXAU,VIC
402743,TC101673,FXAU,VIC
624748,TC101571,FXAU,VIC
165311,TC101315,FXAU,VIC
790678,TC101571,FXAU,VIC
402941,TC101682,FXAU,VIC
224504,TC101325,FXAU,VIC
230969,TC101686,FXAU,VIC
371207,TC101316,FXAU,VIC
565348,TC101547,FXAU,VIC
140722,TC101888,FXAU,VIC
652062,TC101548,FXAU,VIC
400288,TC101673,FXAU,VIC
400899,TC101672,FXAU,VIC
176281,TC101674,FXAU,VIC
425377,TC101687,FXAU,VIC
270230,TC101689,FXAU,VIC
132212,TC101673,FXAU,VIC
185153,TC101674,FXAU,VIC
565980,TC101546,FXAU,VIC
301367,TC101679,FXAU,VIC
508765,TC101545,FXAU,VIC
270396,TC101689,FXAU,VIC
231488,TC101687,FXAU,VIC
400300,TC101672,FXAU,VIC
185539,TC101674,FXAU,VIC
564911,TC101546,FXAU,VIC
565416,TC101546,FXAU,VIC
176858,TC101674,FXAU,VIC
137067,TC101672,FXAU,VIC
303012,TC101678,FXAU,VIC
139433,TC101672,FXAU,VIC
402912,TC101682,FXAU,VIC
400609,TC101672,FXAU,VIC
137996,TC101673,FXAU,VIC
401990,TC101672,FXAU,VIC
650468,TC101549,FXAU,VIC
133542,TC101672,FXAU,VIC
271297,TC101689,FXAU,VIC
130637,TC101672,FXAU,VIC
123420,TC101672,FXAU,VIC
171949,TC101674,FXAU,VIC
624968,TC101570,FXAU,VIC
109249,TC101307,FXAU,VIC
425030,TC101687,FXAU,VIC
402049,TC101672,FXAU,VIC
271098,TC101689,FXAU,VIC
137872,TC101672,FXAU,VIC
185641,TC101674,FXAU,VIC
201675,TC101677,FXAU,VIC
303517,TC101678,FXAU,VIC
174406,TC101674,FXAU,VIC
231404,TC101686,FXAU,VIC
236862,TC101686,FXAU,VIC
185180,TC101674,FXAU,VIC
140971,TC101673,FXAU,VIC
301436,TC101678,FXAU,VIC
270829,TC101689,FXAU,VIC
425353,TC101687,FXAU,VIC
425071,TC101687,FXAU,VIC
425100,TC101687,FXAU,VIC
223509,TC101326,FXAU,VIC
401540,TC101672,FXAU,VIC
402164,TC101682,FXAU,VIC
201139,TC101676,FXAU,VIC
230987,TC101687,FXAU,VIC
401666,TC101672,FXAU,VIC
402297,TC101682,FXAU,VIC
401167,TC101673,FXAU,VIC
107941,TC101673,FXAU,VIC
270542,TC101688,FXAU,VIC
301759,TC101679,FXAU,VIC
370727,TC101315,FXAU,VIC
175447,TC101674,FXAU,VIC
237294,TC101686,FXAU,VIC
271191,TC101688,FXAU,VIC
140911,TC101673,FXAU,VIC
302183,TC101678,FXAU,VIC
138597,TC101673,FXAU,VIC
133331,TC101673,FXAU,VIC
653020,TC101549,FXAU,VIC
402120,TC101673,FXAU,VIC
303690,TC101678,FXAU,VIC
304396,TC101679,FXAU,VIC
135446,TC101672,FXAU,VIC
565384,TC101546,FXAU,VIC
524491,TC101167,FXAU,VIC
420296,TC101675,FXAU,VIC
230423,TC101687,FXAU,VIC
425494,TC101687,FXAU,VIC
300861,TC101679,FXAU,VIC
270729,TC101688,FXAU,VIC
201708,TC101677,FXAU,VIC
402062,TC101682,FXAU,VIC
175329,TC101675,FXAU,VIC
111603,TC101673,FXAU,VIC
303286,TC101679,FXAU,VIC
174906,TC101674,FXAU,VIC
130784,TC101672,FXAU,VIC
170349,TC101674,FXAU,VIC
420156,TC101674,FXAU,VIC
234293,TC101687,FXAU,VIC
233755,TC101686,FXAU,VIC
564812,TC101546,FXAU,VIC
625617,TC101571,FXAU,VIC
301913,TC101679,FXAU,VIC
133017,TC101888,FXAU,VIC
137939,TC101672,FXAU,VIC
129044,TC101673,FXAU,VIC
652079,TC101182,FXAU,VIC
230945,TC101686,FXAU,VIC
402560,TC101672,FXAU,VIC
402885,TC101673,FXAU,VIC
420761,TC101674,FXAU,VIC
820272,TC101549,FXAU,VIC
128088,TC101673,FXAU,VIC
270767,TC101688,FXAU,VIC
305064,TC101679,FXAU,VIC
135631,TC101672,FXAU,VIC
232572,TC101687,FXAU,VIC
270322,TC101689,FXAU,VIC
420441,TC101674,FXAU,VIC
105986,TC101672,FXAU,VIC
223253,TC101326,FXAU,VIC
