SerialNumber,Product_Code,OpcoID,State
760455,TC101163,FXAU,VIC
525394,TC101162,FXAU,VIC
517320,TC101165,FXAU,VIC
565790,TC101168,FXAU,VIC
620162,TC101181,FXAU,VIC
522386,TC101167,FXAU,VIC
750539,TC101160,FXAU,VIC
567618,TC101168,FXAU,VIC
567415,TC101168,FXAU,VIC
503010,TC101167,FXAU,VIC
524375,TC101167,FXAU,VIC
520291,TC101165,FXAU,VIC
502248,TC101167,FXAU,VIC
760344,TC101168,FXAU,VIC
504139,TC101161,FXAU,VIC
519414,TC101161,FXAU,VIC
622515,TC101180,FXAU,VIC
629611,TC101181,FXAU,VIC
628674,TC101181,FXAU,VIC
790473,TC101180,FXAU,VIC
652980,TC101182,FXAU,VIC
504035,TC101167,FXAU,VIC
820049,TC101183,FXAU,VIC
524456,TC101167,FXAU,VIC
503201,TC101165,FXAU,VIC
506358,TC101161,FXAU,VIC
751094,TC101165,FXAU,VIC
564639,TC101168,FXAU,VIC
500122,TC101167,FXAU,VIC
520732,TC101167,FXAU,VIC
626535,TC101180,FXAU,VIC
501566,TC101167,FXAU,VIC
651996,TC101182,FXAU,VIC
517099,TC101165,FXAU,VIC
500229,TC101165,FXAU,VIC
520118,TC101161,FXAU,VIC
566678,TC101168,FXAU,VIC
524491,TC101167,FXAU,VIC
652079,TC101182,FXAU,VIC
564670,TC101163,FXAU,VIC
524409,TC101167,FXAU,VIC
565472,TC101168,FXAU,VIC
520403,TC101165,FXAU,VIC
521171,TC101160,FXAU,VIC
520724,TC101166,FXAU,VIC
515939,TC101165,FXAU,VIC
629099,TC101173,FXAU,VIC
567969,TC101168,FXAU,VIC
517966,TC101165,FXAU,VIC
511536,TC101165,FXAU,VIC
623364,TC101181,FXAU,VIC
621841,TC101180,FXAU,VIC
627278,TC101181,FXAU,VIC
760392,TC101168,FXAU,VIC
503680,TC101165,FXAU,VIC
628394,TC101181,FXAU,VIC
519737,TC101165,FXAU,VIC
651032,TC101183,FXAU,VIC
563644,TC101168,FXAU,VIC
512209,TC101160,FXAU,VIC
511404,TC101162,FXAU,VIC
516789,TC101161,FXAU,VIC
567841,TC101164,FXAU,VIC
505169,TC101165,FXAU,VIC
566795,TC101168,FXAU,VIC
625123,TC101180,FXAU,VIC
627309,TC101181,FXAU,VIC
790209,TC101181,FXAU,VIC
522229,TC101160,FXAU,VIC
510352,TC101160,FXAU,VIC
567885,TC101168,FXAU,VIC
625070,TC101180,FXAU,VIC
628643,TC101181,FXAU,VIC
620503,TC101181,FXAU,VIC
629621,TC101181,FXAU,VIC
511631,TC101165,FXAU,VIC
750884,TC101167,FXAU,VIC
624555,TC101180,FXAU,VIC
629574,TC101181,FXAU,VIC
790101,TC101181,FXAU,VIC
565122,TC101168,FXAU,VIC
624132,TC101180,FXAU,VIC
625117,TC101180,FXAU,VIC
520669,TC101165,FXAU,VIC
503389,TC101165,FXAU,VIC
652493,TC101182,FXAU,VIC
566037,TC101169,FXAU,VIC
820192,TC101182,FXAU,VIC
566517,TC101168,FXAU,VIC
565804,TC101169,FXAU,VIC
760066,TC101168,FXAU,VIC
624546,TC101180,FXAU,VIC
523051,TC101167,FXAU,VIC
626000,TC101180,FXAU,VIC
521742,TC101165,FXAU,VIC
505426,TC101167,FXAU,VIC
650437,TC101182,FXAU,VIC
567622,TC101168,FXAU,VIC
561178,TC101168,FXAU,VIC
751209,TC101167,FXAU,VIC
509513,TC101167,FXAU,VIC
566476,TC101168,FXAU,VIC
650848,TC101183,FXAU,VIC
790021,TC101181,FXAU,VIC
627960,TC101181,FXAU,VIC
519516,TC101167,FXAU,VIC
566714,TC101169,FXAU,VIC
625981,TC101180,FXAU,VIC
623496,TC101180,FXAU,VIC
622377,TC101180,FXAU,VIC
760070,TC101169,FXAU,VIC
652471,TC101182,FXAU,VIC
519760,TC101165,FXAU,VIC
563066,TC101169,FXAU,VIC
562962,TC101168,FXAU,VIC
525441,TC101160,FXAU,VIC
652172,TC101182,FXAU,VIC
621888,TC101180,FXAU,VIC
624851,TC101180,FXAU,VIC
524345,TC101165,FXAU,VIC
511659,TC101165,FXAU,VIC
624967,TC101181,FXAU,VIC
750189,TC101165,FXAU,VIC
760155,TC101168,FXAU,VIC
526032,TC101166,FXAU,VIC
518148,TC101165,FXAU,VIC
629599,TC101181,FXAU,VIC
510341,TC101160,FXAU,VIC
651552,TC101182,FXAU,VIC
651173,TC101183,FXAU,VIC
790129,TC101180,FXAU,VIC
561806,TC101168,FXAU,VIC
566436,TC101168,FXAU,VIC
790313,TC101174,FXAU,VIC
624849,TC101180,FXAU,VIC
627699,TC101181,FXAU,VIC
560395,TC101168,FXAU,VIC
515001,TC101167,FXAU,VIC
519301,TC101165,FXAU,VIC
503019,TC101167,FXAU,VIC
751453,TC101167,FXAU,VIC
526035,TC101167,FXAU,VIC
526029,TC101167,FXAU,VIC
519440,TC101165,FXAU,VIC
625791,TC101181,FXAU,VIC
790243,TC101181,FXAU,VIC
561376,TC101169,FXAU,VIC
518110,TC101165,FXAU,VIC
524839,TC101167,FXAU,VIC
650744,TC101182,FXAU,VIC
620199,TC101181,FXAU,VIC
820183,TC101182,FXAU,VIC
567468,TC101164,FXAU,VIC
520128,TC101162,FXAU,VIC
563630,TC101169,FXAU,VIC
563639,TC101163,FXAU,VIC
565268,TC101168,FXAU,VIC
526646,TC101160,FXAU,VIC
509988,TC101165,FXAU,VIC
652586,TC101183,FXAU,VIC
651819,TC101182,FXAU,VIC
568384,TC101163,FXAU,VIC
750428,TC101167,FXAU,VIC
565929,TC101168,FXAU,VIC
751585,TC101165,FXAU,VIC
521413,TC101160,FXAU,VIC
525933,TC101167,FXAU,VIC
504090,TC101165,FXAU,VIC
751196,TC101165,FXAU,VIC
624934,TC101181,FXAU,VIC
651569,TC101182,FXAU,VIC
514100,TC101160,FXAU,VIC
624111,TC101173,FXAU,VIC
750735,TC101165,FXAU,VIC
629490,TC101181,FXAU,VIC
790059,TC101181,FXAU,VIC
626469,TC101181,FXAU,VIC
521438,TC101165,FXAU,VIC
624430,TC101181,FXAU,VIC
626837,TC101174,FXAU,VIC
790396,TC101181,FXAU,VIC
760488,TC101169,FXAU,VIC
521026,TC101167,FXAU,VIC
504041,TC101165,FXAU,VIC
620055,TC101181,FXAU,VIC
565464,TC101168,FXAU,VIC
620140,TC101181,FXAU,VIC
620428,TC101181,FXAU,VIC
520720,TC101165,FXAU,VIC
563657,TC101163,FXAU,VIC
760215,TC101164,FXAU,VIC
621441,TC101181,FXAU,VIC
620206,TC101181,FXAU,VIC
510881,TC101165,FXAU,VIC
505050,TC101165,FXAU,VIC
620476,TC101181,FXAU,VIC
750656,TC101160,FXAU,VIC
650496,TC101183,FXAU,VIC
650065,TC101182,FXAU,VIC
621836,TC101180,FXAU,VIC
760221,TC101163,FXAU,VIC
621204,TC101180,FXAU,VIC
513035,TC101165,FXAU,VIC
625995,TC101181,FXAU,VIC
622363,TC101180,FXAU,VIC
503521,TC101165,FXAU,VIC
626610,TC101181,FXAU,VIC
750501,TC101165,FXAU,VIC
750607,TC101167,FXAU,VIC
623655,TC101180,FXAU,VIC
562511,TC101169,FXAU,VIC
820040,TC101183,FXAU,VIC
622247,TC101180,FXAU,VIC
515190,TC101165,FXAU,VIC
564611,TC101168,FXAU,VIC
790377,TC101180,FXAU,VIC
514464,TC101160,FXAU,VIC
790407,TC101180,FXAU,VIC
566675,TC101168,FXAU,VIC
566588,TC101168,FXAU,VIC
513034,TC101167,FXAU,VIC
750319,TC101162,FXAU,VIC
750330,TC101162,FXAU,VIC
526596,TC101162,FXAU,VIC
562768,TC101163,FXAU,VIC
510401,TC101160,FXAU,VIC
526594,TC101167,FXAU,VIC
626621,TC101173,FXAU,VIC
526583,TC101160,FXAU,VIC
526024,TC101167,FXAU,VIC
568395,TC101163,FXAU,VIC
511966,TC101162,FXAU,VIC
525428,TC101161,FXAU,VIC
627526,TC101180,FXAU,VIC
629023,TC101173,FXAU,VIC
650242,TC101183,FXAU,VIC
525370,TC101165,FXAU,VIC
521537,TC101161,FXAU,VIC
750775,TC101165,FXAU,VIC
519151,TC101160,FXAU,VIC
790060,TC101173,FXAU,VIC
751495,TC101167,FXAU,VIC
750554,TC101162,FXAU,VIC
628960,TC101173,FXAU,VIC
522144,TC101160,FXAU,VIC
521048,TC101162,FXAU,VIC
521114,TC101162,FXAU,VIC
627290,TC101181,FXAU,VIC
521050,TC101162,FXAU,VIC
517190,TC101165,FXAU,VIC
521960,TC101161,FXAU,VIC
820131,TC101182,FXAU,VIC
526472,TC101160,FXAU,VIC
513871,TC101167,FXAU,VIC
518185,TC101160,FXAU,VIC
820062,TC101182,FXAU,VIC
622224,TC101180,FXAU,VIC
651069,TC101183,FXAU,VIC
627331,TC101180,FXAU,VIC
